Link ID; Channel ID; Line; time tag; Data 
  1; 16;  1;0x42c044ba5;0xbcbcbcbc3c3913b4ef49fea930bdffe5L
  1; 16;  2;0x42c044be1;0x30bdffe53c3913b4ef49ce58b0847406L
  1; 16;  3;0x42c044c1d;0xb08474063c3913b4ef49d0b8c0917f37L
  1; 16;  4;0x42c044c59;0xc0917f373c3d13b10149bb937c177df8L
  1; 16;  5;0x42c044c95;0x7c177df83c3d13b10349bb94b44a7b39L
  1; 16;  6;0x42c044cd1;0xb44a7b393c3d13b10749bb94ac357bcaL
  1; 16;  7;0x42c044d0d;0xac357bca3c3913b10449be04d84451abL
  1; 16;  8;0x42c044d49;0xd84451ab3c3913b4f049c723a08173fcL
  1; 16;  9;0x42c044d85;0xa08173fc3c3913b4fd49c0b4342e3d4dL
  1; 16; 10;0x42c044dc1;0x342e3d4d3c3913b4ef49ff3109405d8eL
  1; 16; 11;0x42c044dfd;0x9405d8e3c3d13b4ef49fb9870ac7e0fL
  1; 16; 12;0x42c044e39;0x70ac7e0f3c3913b4ef49cb4898655b20L
  1; 16; 13;0x42c044e75;0x98655b203c3d13b4ef49fb9880b57a41L
  1; 16; 14;0x42c044eb1;0x80b57a413c3913b4ef49fc58f0737be2L
  1; 16; 15;0x42c044eed;0xf0737be23c3d13b4ef49fb98c0ab7553L
  1; 16; 16;0x42c045181;0xbcbcbcbc3c3cb3986f29d4994384fff5L
  1; 16; 17;0x42c0451bd;0x4384fff53c392cb730d9e493753170bcL
  1; 16; 18;0x42c0451f9;0x753170bc3c392cb73bd9dfb4240951bdL
  1; 16; 19;0x42c045235;0x240951bd3c392cb72fd9e0a0b140622eL
  1; 16; 20;0x42c045271;0xb140622e3c392cb72fd9e75828aa6a1fL
  1; 16; 21;0x42c0452ad;0x28aa6a1f3c392cb72fd9eb08587d7170L
  1; 16; 22;0x42c0452e9;0x587d71703c392cb72fd9e608c8b97e31L
  1; 16; 23;0x42c045325;0xc8b97e313c38cbdaf779dbc95372ffc2L
  1; 16; 24;0x42c045361;0x5372ffc23c3d2cb72fd9d49868a66ce3L
  1; 16; 25;0x42c04539d;0x68a66ce33c392cb72fd9d94000a164f4L
  1; 16; 26;0x42c0453d9;0xa164f43c392cb72fd9d88020817466L
  1; 16; 27;0x42c045415;0x208174663c392cb72fd9ea5890a27ef7L
  1; 16; 28;0x42c045451;0x90a27ef73c3d2cb341d9949309387d48L
  1; 16; 29;0x42c04548d;0x9387d483c3d2cb342d99494bc227009L
  1; 16; 30;0x42c0454c9;0xbc2270093c3d2cb347d99494a03779daL
  1; 16; 31;0x42c045811;0xbcbcbcbc3c391bbef099c1097b6cfff2L
  1; 16; 32;0x42c04584d;0x7b6cfff23c38fea7aac9ef092b70ffd5L
  1; 16; 33;0x42c045889;0x2b70ffd53c3945b56f69f668b08b7cf6L
  1; 16; 34;0x42c0458c5;0xb08b7cf63c3945b56f69c27848877f37L
  1; 16; 35;0x42c045901;0x48877f373c3d45b17f69ad91b01e7c98L
  1; 16; 36;0x42c04593d;0xb01e7c983c3d45b18169ad94981f6499L
  1; 16; 37;0x42c045979;0x981f64993c3d45b18a69ad94946b762aL
  1; 16; 38;0x42c0459b5;0x946b762a3c3d45b18369ad94a4235b8bL
  1; 16; 39;0x42c0459f1;0xa4235b8b3c3945b57969fd33a44a692cL
  1; 16; 40;0x42c045a2d;0xa44a692c3c3945b57969faa3c02b517dL
  1; 16; 41;0x42c045a69;0xc02b517d3c3945b56f69c0d0f12a5e4eL
  1; 16; 42;0x42c045aa5;0xf12a5e4e3c3945b56f69efb8a8b57fffL
  1; 16; 43;0x42c045ae1;0xa8b57fff3c3945b56f69ef2938885b60L
  1; 16; 44;0x42c045b1d;0x38885b603c3945b56f69c588188e7e31L
  1; 16; 45;0x42c045b59;0x188e7e313c3945b56f69eed8f0b06283L
  1; 16; 46;0x42c045e65;0xbcbcbcbc3c395eb7b0f9da0364fb68ccL
  1; 16; 47;0x42c045ea1;0x64fb68cc3c395eb7baf9dc63d81a452dL
  1; 16; 48;0x42c045edd;0xd81a452d3c395eb7aff9cb90b946626eL
  1; 16; 49;0x42c045f19;0xb946626e3c395fe3fb0c9fd890b37fdfL
  1; 16; 50;0x42c045f55;0x90b37fdf3c395eb7aff9cd98b87d5c20L
  1; 16; 51;0x42c045f91;0xb87d5c203c395eb7aff9c80898c67a41L
  1; 16; 52;0x42c045fcd;0x98c67a413c3949866149cac8fb70ffe2L
  1; 16; 53;0x42c046009;0xfb70ffe23c3d13b7aff9c69940d9ffd3L
  1; 16; 54;0x42c046045;0x40d9ffd33c395eb7aff9c8f8d0c960a4L
  1; 16; 55;0x42c046081;0xd0c960a43c38b39baff9c628f0cfffb5L
  1; 16; 56;0x42c0460bd;0xf0cfffb53c395eb7aff9d5b8b8a47446L
  1; 16; 57;0x42c0460f9;0xb8a474463c395eb7aff9dab880a07ef7L
  1; 16; 58;0x42c046135;0x80a07ef73c3d5eb3c1f98693b4297d28L
  1; 16; 59;0x42c046171;0xb4297d283c3d5eb3c3f9869478746529L
  1; 16; 60;0x42c0461ad;0x787465293c3d5eb3c7f9869480667d7aL
  1; 16; 61;0x42c0461e9;0x80667d7a3c395fe3fb0c9fd27015761fL
  1; 16; 62;0x42c04647d;0xbcbcbcbc3c394a2289a9e919c378ffd2L
  1; 16; 63;0x42c0464b9;0xc378ffd23c3977b5ef89eef920bcffa5L
  1; 16; 64;0x42c0464f5;0x20bcffa53c3d77b5ef89df9810807116L
  1; 16; 65;0x42c046531;0x108071163c3977b5ef89f5c8d09e7ac7L
  1; 16; 66;0x42c04656d;0xd09e7ac73c3d77b1ff899f9104287df8L
  1; 16; 67;0x42c0465a9;0x4287df83c3d77b203899f94a83e7b79L
  1; 16; 68;0x42c0465e5;0xa83e7b793c3977b20789b674743b799aL
  1; 16; 69;0x42c046621;0x743b799a3c3d77b204899f949c2150abL
  1; 16; 70;0x42c04665d;0x9c2150ab3c3d77b5f689df93c119651cL
  1; 16; 71;0x42c046699;0xc119651c3c3977b5fb89f613d20242edL
  1; 16; 72;0x42c0466d5;0xd20242ed3c3977b5ef89e720a9215d8eL
  1; 16; 73;0x42c046711;0xa9215d8e3c3977b5ef89f018a8a67fffL
  1; 16; 74;0x42c04674d;0xa8a67fff3c3d77b5ef89df9030516eb0L
  1; 16; 75;0x42c046789;0x30516eb03c3977b5ef89f79870a67661L
  1; 16; 76;0x42c0467c5;0x70a676613c3977b5ef89e110747e7c73L
  1; 16; 77;0x42c046a95;0xbcbcbcbc3c396ef7bdc9fa49437aff95L
  1; 16; 78;0x42c046ad1;0x437aff953c3990b43819fa039859688cL
  1; 16; 79;0x42c046b0d;0x9859688c3c3990b43819c943a802436dL
  1; 16; 80;0x42c046b49;0xa802436d3c3990b42f19ca6099345cceL
  1; 16; 81;0x42c046b85;0x99345cce3c3990b42f19cbb8d8b1691fL
  1; 16; 82;0x42c046bc1;0xd8b1691f3c3d91bc712a519910915020L
  1; 16; 83;0x42c046bfd;0x109150203c3990b42f19fb38f0a87a01L
  1; 16; 84;0x42c046c39;0xf0a87a013c3991582f19f9c438847c62L
  1; 16; 85;0x42c046c75;0x38847c623c3d90b42f19f89850796343L
  1; 16; 86;0x42c046cb1;0x507963433c3990b42f19c03890a26064L
  1; 16; 87;0x42c046ced;0x90a260643c3990b42f19f9d8988e74e6L
  1; 16; 88;0x42c046d29;0x988e74e63c1191f4812dd1b8e0977bd7L
  1; 16; 89;0x42c046d65;0xe0977bd73c3990b03f19ba42e0287cd8L
  1; 16; 90;0x42c046da1;0xe0287cd83c3d90b04219b8949c047009L
  1; 16; 91;0x42c046ddd;0x9c0470093c3d90b04719b8948446756aL
  1; 16; 92;0x42c046e19;0x8446756a3c1191f4812dd1b424187e17L
  1; 16; 93;0x42c046e55;0x24187e173c3d91bc712a5199a05c5f60L
  1; 16; 94;0x42c0470e9;0xbcbcbcbc3c3979064279d9d92b72ffc2L
  1; 16; 95;0x42c047125;0x2b72ffc23c397a2e8df9d4892374fff5L
  1; 16; 96;0x42c047161;0x2374fff53c39a9b66fa9d3d8d87472d6L
  1; 16; 97;0x42c04719d;0xd87472d63c39a9b66fa9e39920967b07L
  1; 16; 98;0x42c0471d9;0x20967b073c3da9b27fa991930c257d28L
  1; 16; 99;0x42c047215;0xc257d283c3da9b281a991944c3b64d9L
  1; 16;100;0x42c047251;0x4c3b64d93c3da9b286a9919464057d7aL
  1; 16;101;0x42c04728d;0x64057d7a3c3da9b284a9919490445b0bL
  1; 16;102;0x42c0472c9;0x90445b0b3c39a9b678a9de838c38688cL
  1; 16;103;0x42c047305;0x8c38688c3c39a9b67ba9e6241c213e4dL
  1; 16;104;0x42c047341;0x1c213e4d3c39a9b66fa9e2f061255d8eL
  1; 16;105;0x42c04737d;0x61255d8e3c39a9b66fa9d988f0a17d8fL
  1; 16;106;0x42c0473b9;0xf0a17d8f3c39a9b66fa9e190143d5210L
  1; 16;107;0x42c0473f5;0x143d52103c39a9b66fa9e3f910a67a01L
  1; 16;108;0x42c047431;0x10a67a013c39a9b66fa9d39910a56b23L
  1; 16;109;0x42c047701;0xbcbcbcbc3c397a2e8df9fc395b70ffb5L
  1; 16;110;0x42c04773d;0x5b70ffb53c39c2b4b039f86318fb696cL
  1; 16;111;0x42c047779;0x18fb696c3c39c2b4b839f933800550fdL
  1; 16;112;0x42c0477b5;0x800550fd3c39c2b4af39f250bd0c5e0eL
  1; 16;113;0x42c0477f1;0xbd0c5e0e3c39c2b4af39ed3868947e2fL
  1; 16;114;0x42c04782d;0x68947e2f3c39c2b4af39ed38a8786580L
  1; 16;115;0x42c047869;0xa87865803c39c2b4af39ef1858a37721L
  1; 16;116;0x42c0478a5;0x58a377213c39aa268a19fdd96b6cffe2L
  1; 16;117;0x42c0478e1;0x6b6cffe23c3dc2b4af39ea9058727cb3L
  1; 16;118;0x42c04791d;0x58727cb33c39c2f4af39fcb7d4c3ffc4L
  1; 16;119;0x42c047959;0xd4c3ffc43c39c2b4af39fe1828757cf6L
  1; 16;120;0x42c047995;0x28757cf63c39c2b4af39ff48ec9d7ef7L
  1; 16;121;0x42c0479d1;0xec9d7ef73c39c2b0bf39ade124527c98L
  1; 16;122;0x42c047a0d;0x24527c983c3dc2b0c239aa946c0c6529L
  1; 16;123;0x42c047a49;0x6c0c65293c3dc2b0c739aa9454287b0aL
  1; 16;124;0x42c047d91;0xbcbcbcbc3c3979064279c3095370ffc2L
  1; 16;125;0x42c047dcd;0x5370ffc23c39bc2f0c89c3196378ffa5L
  1; 16;126;0x42c047e09;0x6378ffa53c39dbb6efc9da88c88b73e6L
  1; 16;127;0x42c047e45;0xc88b73e63c39dbb6efc9d7a8ec927b87L
  1; 16;128;0x42c047e81;0xec927b873c3ddbb2ffc98392cc147d28L
  1; 16;129;0x42c047ebd;0xcc147d283c39dbb303c98b8478327049L
  1; 16;130;0x42c047ef9;0x783270493c3ddbb307c983945043795aL
  1; 16;131;0x42c047f35;0x5043795a3c3ddbb303c9839478245c4bL
  1; 16;132;0x42c047f71;0x78245c4b3c39dbb6f8c9d623b84671bcL
  1; 16;133;0x42c047fad;0xb84671bc3c39dbb6f9c9d5635510517dL
  1; 16;134;0x42c047fe9;0x5510517d3c39dbb6efc9cae09d267b3eL
  1; 16;135;0x42c048025;0x9d267b3e3c39dbb6efc9d508a89d7fffL
  1; 16;136;0x42c048061;0xa89d7fff3c39dbb6efc9c9f8d0787470L
  1; 16;137;0x42c04809d;0xd07874703c39dbb6efc9cb28a0a77a41L
  1; 16;138;0x42c0480d9;0xa0a77a413c3ddbb6efc9c390b46464c3L
  1; 16;139;0x42c0483a9;0xbcbcbcbc3c39c318c7c9dc49137effd5L
  1; 16;140;0x42c0483e5;0x137effd53c3df4b54059dc93d84f694cL
  1; 16;141;0x42c048421;0xd84f694c3c39f4b53959f25384e63d4dL
  1; 16;142;0x42c04845d;0x84e63d4d3c3df4b52f59dc905d1e5dceL
  1; 16;143;0x42c048499;0x5d1e5dce3c39f4b52f59ed38b8917ecfL
  1; 16;144;0x42c0484d5;0xb8917ecf3c39f4b52f59ed48804e6640L
  1; 16;145;0x42c048511;0x804e66403c39f4b52f59f028c89a7e71L
  1; 16;146;0x42c04854d;0xc89a7e713c39aa268a19ecd9ab6effe2L
  1; 16;147;0x42c048589;0xab6effe23c3df4b52f59dc98b0957613L
  1; 16;148;0x42c0485c5;0xb09576133c39f4b52f59f37910a2ffe4L
  1; 16;149;0x42c048601;0x10a2ffe43c39f4b52f59ef59087cffc6L
  1; 16;150;0x42c04863d;0x87cffc63c39f4b52f59f42908707b87L
  1; 16;151;0x42c048679;0x8707b873c3df4b13f599c90d4407df8L
  1; 16;152;0x42c0486b5;0xd4407df83c3df4b142599c94600c6559L
  1; 16;153;0x42c0486f1;0x600c65593c3df4b147599c94486474aaL
  1; 16;154;0x42c0489fd;0xbcbcbcbc3c39dc1705f9fda92372ffb5L
  1; 16;155;0x42c048a39;0x2372ffb53c3a0db76fe9c938d07e7cf6L
  1; 16;156;0x42c048a75;0xd07e7cf63c3a0db76fe9cd88c88a7b07L
  1; 16;157;0x42c048ab1;0xc88a7b073c3a0db37fe98671c8287c98L
  1; 16;158;0x42c048aed;0xc8287c983c3e0db384e9b594502065a9L
  1; 16;159;0x42c048b29;0x502065a93c3e0db388e9b5944c447d7aL
  1; 16;160;0x42c048b65;0x4c447d7a3c3e0db387e9b594646050abL
  1; 16;161;0x42c048ba1;0x646050ab3c3a0db770e9c233686b72bcL
  1; 16;162;0x42c048bdd;0x686b72bc3c3a0db77be9c0e38c2a436dL
  1; 16;163;0x42c048c19;0x8c2a436d3c3a0db76fe9cca06d287afeL
  1; 16;164;0x42c048c55;0x6d287afe3c3a0db76fe9c5b8c89e7dafL
  1; 16;165;0x42c048c91;0xc89e7daf3c3a0db76fe9c009587e5ba0L
  1; 16;166;0x42c048ccd;0x587e5ba03c3a0db76fe9c8d928b57591L
  1; 16;167;0x42c048d09;0x28b575913c3a0dbb6fea0684c8967e62L
  1; 16;168;0x42c048d45;0xc8967e623c3e0db76fe9f59810776da3L
  1; 16;169;0x42c049015;0xbcbcbcbc3c05dc3b10b9cdb91b70ffc5L
  1; 16;170;0x42c049051;0x1b70ffc53c3a26b5b079e5c2f93e707cL
  1; 16;171;0x42c04908d;0xf93e707c3c3a26b5b879d21325142a5dL
  1; 16;172;0x42c0490c9;0x25142a5d3c3a26b5af79e2e0a52364deL
  1; 16;173;0x42c049105;0xa52364de3c3a26b5af79d3e878757dafL
  1; 16;174;0x42c049141;0x78757daf3c3a26b5af79ceb9006c6500L
  1; 16;175;0x42c04917d;0x6c65003c3a26b5af79cec938957e31L
  1; 16;176;0x42c0491b9;0x38957e313c3a0dbb6fea17a9ab7effe2L
  1; 16;177;0x42c0491f5;0xab7effe23c3e26b5af79ce98c0987c73L
  1; 16;178;0x42c049231;0xc0987c733c3a26b5af79e59888966534L
  1; 16;179;0x42c04926d;0x889665343c3a26b5af79cf3870767426L
  1; 16;180;0x42c0492a9;0x707674263c3e26b1bf798e91301e7ce8L
