Link ID; Channel ID; Line; Data 
  1; 15;  1;0xb6e89709da;0xbcbcbcbc3c3e0008020f2196297afffcL
  1; 15;  2;0xb6e8970a16;0x297afffc3c3e0008020f21956175fffdL
  1; 15;  3;0xb6e8970a52;0x6175fffd3c3e0008020f2195d174fffeL
  1; 15;  4;0xb6e8970a8e;0xd174fffe3c3e0008020f21955985ffffL
  1; 15;  5;0xb6e8970aca;0x5985ffff3c3e0008020f2195b963fff0L
  1; 15;  6;0xb6e8970b06;0xb963fff03c3e0008020f21959188fff1L
  1; 15;  7;0xb6e8970b42;0x9188fff13c3e0008020f2195c989fff2L
  1; 15;  8;0xb6e8970b7e;0xc989fff23c3e0008020f2195b96bfff3L
  1; 15;  9;0xb6e8970bba;0xb96bfff33c3e0008020f2195f5aafff4L
  1; 15; 10;0xb6e8970bf6;0xf5aafff43c3e0008020f219571a7fff5L
  1; 15; 11;0xb6e8970c32;0x71a7fff53c3e0008020f21961990fff6L
  1; 15; 12;0xb6e8970c6e;0x1990fff63c3e0008020f21952569fff7L
  1; 15; 13;0xb6e8970caa;0x2569fff73c3e0008020f2196016afff8L
  1; 15; 14;0xb6e8970ce6;0x16afff83c3e0008020f2194ed8ffff9L
  1; 15; 15;0xb6e8970d22;0xed8ffff93c3e0008020f2195ed99fffaL
  1; 15; 16;0xb6e897120e;0xbcbcbcbc3c3e2008020f0196297affccL
  1; 15; 17;0xb6e897124a;0x297affcc3c3e2008020f01956d75ffcdL
  1; 15; 18;0xb6e8971286;0x6d75ffcd3c3e2008020f0195b974ffceL
  1; 15; 19;0xb6e89712c2;0xb974ffce3c3e2008020f01955583ffcfL
  1; 15; 20;0xb6e89712fe;0x5583ffcf3c3e2008020f0195a968ffc0L
  1; 15; 21;0xb6e897133a;0xa968ffc03c3e2008020f0195ad83ffc1L
  1; 15; 22;0xb6e8971376;0xad83ffc13c3e2008020f0195b58cffc2L
  1; 15; 23;0xb6e89713b2;0xb58cffc23c3e2008020f0195d56bffc3L
  1; 15; 24;0xb6e89713ee;0xd56bffc33c3e2008020f019611a8ffc4L
  1; 15; 25;0xb6e897142a;0x11a8ffc43c3e2008020f019575a3ffc5L
  1; 15; 26;0xb6e8971466;0x75a3ffc53c3e2008020f01961d8effc6L
  1; 15; 27;0xb6e89714a2;0x1d8effc63c3e2008020f0195216affc7L
  1; 15; 28;0xb6e89714de;0x216affc73c3e2008020f0195f965ffc8L
  1; 15; 29;0xb6e897151a;0xf965ffc83c3e2008020f0195058fffc9L
  1; 15; 30;0xb6e8971556;0x58fffc93c3e2008020f0195ed98ffcaL
  1; 15; 31;0xb6e8971a06;0xbcbcbcbc3c3e4008020f21962975ffdcL
  1; 15; 32;0xb6e8971a42;0x2975ffdc3c3e4008020f2195657affddL
  1; 15; 33;0xb6e8971a7e;0x657affdd3c3e4008020f2195b973ffdeL
  1; 15; 34;0xb6e8971aba;0xb973ffde3c3e4008020f21954d8bffdfL
  1; 15; 35;0xb6e8971af6;0x4d8bffdf3c3e4008020f2195a96affd0L
  1; 15; 36;0xb6e8971b32;0xa96affd03c3e4008020f21959d8cffd1L
  1; 15; 37;0xb6e8971b6e;0x9d8cffd13c3e4008020f2195d18effd2L
  1; 15; 38;0xb6e8971baa;0xd18effd23c3e4008020f2195dd6cffd3L
  1; 15; 39;0xb6e8971be6;0xdd6cffd33c3e4008020f219609adffd4L
  1; 15; 40;0xb6e8971c22;0x9adffd43c3e4008020f219589a6ffd5L
  1; 15; 41;0xb6e8971c5e;0x89a6ffd53c3e4008020f21962595ffd6L
  1; 15; 42;0xb6e8971c9a;0x2595ffd63c3e4008020f21953166ffd7L
  1; 15; 43;0xb6e8971cd6;0x3166ffd73c3e4008020f2196016affd8L
  1; 15; 44;0xb6e8971d12;0x16affd83c3e4008020f21951d92ffd9L
  1; 15; 45;0xb6e8971d4e;0x1d92ffd93c3e4008020f2195ed9effdaL
  1; 15; 46;0xb6e89721fe;0xbcbcbcbc3c3e6008020f0196117affecL
  1; 15; 47;0xb6e897223a;0x117affec3c3e6008020f01956979ffedL
  1; 15; 48;0xb6e8972276;0x6979ffed3c3e6008020f0195c97affeeL
  1; 15; 49;0xb6e89722b2;0xc97affee3c3e6008020f01954d85ffefL
  1; 15; 50;0xb6e89722ee;0x4d85ffef3c3e6008020f0195c96affe0L
  1; 15; 51;0xb6e897232a;0xc96affe03c3e6008020f01959d85ffe1L
  1; 15; 52;0xb6e8972366;0x9d85ffe13c3e6008020f0195c18bffe2L
  1; 15; 53;0xb6e89723a2;0xc18bffe23c3e6008020f0195c16affe3L
  1; 15; 54;0xb6e89723de;0xc16affe33c3e6008020f0195f9b0ffe4L
  1; 15; 55;0xb6e897241a;0xf9b0ffe43c3e6008020f01956da6ffe5L
  1; 15; 56;0xb6e8972456;0x6da6ffe53c3e6008020f01962192ffe6L
  1; 15; 57;0xb6e8972492;0x2192ffe63c3e6008020f01952966ffe7L
  1; 15; 58;0xb6e89724ce;0x2966ffe73c3e6008020f0195f56dffe8L
  1; 15; 59;0xb6e897250a;0xf56dffe83c3e6008020f0195098fffe9L
  1; 15; 60;0xb6e8972546;0x98fffe93c3e6008020f0195fd9effeaL
  1; 15; 61;0xb6e89729f6;0xbcbcbcbc3c3e8008020f21962579fffcL
  1; 15; 62;0xb6e8972a32;0x2579fffc3c3e8008020f21955172fffdL
  1; 15; 63;0xb6e8972a6e;0x5172fffd3c3e8008020f2195b971fffeL
  1; 15; 64;0xb6e8972aaa;0xb971fffe3c3e8008020f21954d83ffffL
  1; 15; 65;0xb6e8972ae6;0x4d83ffff3c3e8008020f2195b161fff0L
  1; 15; 66;0xb6e8972b22;0xb161fff03c3e8008020f21958186fff1L
  1; 15; 67;0xb6e8972b5e;0x8186fff13c3e8008020f2195bd89fff2L
  1; 15; 68;0xb6e8972b9a;0xbd89fff23c3e8008020f2195b567fff3L
  1; 15; 69;0xb6e8972bd6;0xb567fff33c3e8008020f2195f1a6fff4L
  1; 15; 70;0xb6e8972c12;0xf1a6fff43c3e8008020f21955da3fff5L
